Box size: max: 20.70783 min: 0.99219617 in Ang
T: 1073
Cation charge: 1  Anion charge: -1
Lag time  Cat-Cat_self  An-An_self  Cat-Cat_cross  An-An_cross  Cat-An_cross
0.775  22.517601050549818  22.414065931318206  -0.9960048366870314  -0.3760637960387392  -8.317389149541768
0.78  22.526944311589087  22.42650282848194  -0.9989064781445933  -0.37586539163882005  -8.340184890533795
0.785  22.53602231173921  22.439004977773152  -1.0021426430237943  -0.37548930211887666  -8.362642560493581
0.79  22.544839316360633  22.451553329647112  -1.0056689107035954  -0.3749318663215064  -8.384753551255397
0.795  22.553350109507075  22.464124574137507  -1.0093835692407245  -0.37419438783527437  -8.406618525159653
0.8  22.561452876800637  22.476695374083384  -1.0131421206183036  -0.37328441081924185  -8.428416970609906
0.805  22.569002609986498  22.4892473212572  -1.0167891714969588  -0.3722160372694441  -8.450365370371985
0.81  22.575839704473303  22.50177219860951  -1.0201950464099443  -0.37100989983080684  -8.472677146336926
0.815  22.581823302180457  22.51427610972642  -1.0232836754237293  -0.3696926910334914  -8.495532552550761
0.82  22.586858888140167  22.52678088421596  -1.0260447646467115  -0.36829569625350334  -8.519061408281223
0.825  22.590915727098572  22.53932188818289  -1.0285276084755934  -0.36685158155660547  -8.54333665969514
0.83  22.594035848419253  22.551942728198867  -1.0308172240097122  -0.36538886795055725  -8.568373178881817
0.835  22.596335962595305  22.564688687211785  -1.032999356714471  -0.36392466094573983  -8.59412613872737
0.84  22.597999996435707  22.577600875020043  -1.035126011883814  -0.3624576537176196  -8.620487462277486
0.845  22.599260134439028  22.590711950407968  -1.037193408334372  -0.36096389385150557  -8.64728393865478
0.85  22.600369146180135  22.604043367771837  -1.039140252409848  -0.35939719346881727  -8.674282322324013
0.855  22.601570626144326  22.61760413221543  -1.0408682521205102  -0.3576949297318328  -8.701203133805931
0.86  22.60307355597312  22.631391137836484  -1.0422788422234264  -0.35578849390275746  -8.727739843256492
0.865  22.605036661703043  22.645390510006113  -1.0433130166938396  -0.3536159663736098  -8.753580920850421
0.87  22.607565450010053  22.659578563267086  -1.0439801363086354  -0.3511335064745084  -8.778437525022392
0.875  22.610716650971067  22.673921394185175  -1.0443666715165012  -0.348322207765321  -8.80207984977466
0.88  22.614499536695078  22.68837373634257  -1.0446234075364873  -0.34518885095975843  -8.824376537776855
0.885  22.618870832903028  22.702878722523263  -1.0449362119580463  -0.34176132418873545  -8.84532253168313
0.89  22.62373079386393  22.717369644631567  -1.0454883002032231  -0.3380813513419438  -8.865042371955765
0.895  22.628930999518442  22.731773715059703  -1.046421327423627  -0.3341978343272989  -8.883766485106122
0.9  22.634299739413596  22.746017342181965  -1.047803192823332  -0.3301632899364333  -8.901788868077317
0.905  22.639680277505896  22.76003219297032  -1.0496135506737152  -0.326033811680462  -8.919421668766727
0.91  22.644966095599404  22.773760681878546  -1.0517567193329354  -0.32187090082176595  -8.936962512496045
0.915  22.650116140985737  22.78715921854452  -1.05410118237619  -0.3177426895797686  -8.954684067404289
0.92  22.65514403708778  22.800198757049085  -1.0565315727358058  -0.31372254060528765  -8.972845105484845
0.925  22.660089065990988  22.812863985689955  -1.0589924285648502  -0.30988400631155555  -8.99171033500075
0.93  22.664983647775784  22.82515258154417  -1.0615065613523291  -0.30629235016755707  -9.011559327509145
0.935  22.669829022665144  22.837074225745916  -1.0641619390048358  -0.30299444252831453  -9.032670049613293
0.94  22.67458494887508  22.848647931499983  -1.0670739628375396  -0.30001038838801264  -9.05527693129073
0.945  22.679176003226235  22.85989718554243  -1.070338952305668  -0.29733025377521877  -9.079516963545329
0.95  22.68351285698927  22.870844165884336  -1.0739951918131725  -0.2949172885631451  -9.105382291274596
0.955  22.687520578989773  22.881505044949954  -1.0780014618313918  -0.2927164217779534  -9.132693739169232
0.96  22.69116337863026  22.89188799067301  -1.082236007313033  -0.29066498300698806  -9.161102474006237
0.965  22.694459219951852  22.90199460394882  -1.0865145722214846  -0.2887022042483646  -9.190122418170564
0.97  22.69748307768494  22.911824334635174  -1.0906215420529626  -0.28677516784976  -9.219192876914875
0.975  22.70035822478531  22.92138016467111  -1.0943437525911992  -0.2848409876539925  -9.247763785007917
0.98  22.70323459529865  22.930673431069994  -1.0974978138836244  -0.28286672820295033  -9.275386242117506
0.985  22.70625786944972  22.939726097968304  -1.0999480556582244  -0.2808286634937013  -9.30178646829773
0.99  22.70953781556126  22.948569245771406  -1.1016166758538175  -0.2787114619603264  -9.326906133870107
0.995  22.7131230865442  22.95723724211076  -1.1024877985159058  -0.2765073377579681  -9.350901931664756
1.0  22.716986882660226  22.96575854878949  -1.102605106045766  -0.27421553397644605  -9.374104559984906
